"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:2sMxswHr9wX7kTUHULvJBJ","Destino o casualidad","spotify:artist:1EXjXQpDx2pROygh8zvHs4, spotify:artist:5xd2Tg7Zo8755eCy8Gxkp8","Melendi, Ha*Ash","spotify:album:0qnDuxzDLdWWi9R473rv85","Destino o casualidad","spotify:artist:1EXjXQpDx2pROygh8zvHs4","Melendi","2018-05-01","https://i.scdn.co/image/ab67616d0000b2734306fd3cc49f5da4417ed1f2","1","1","258504","https://p.scdn.co/mp3-preview/df5d3e1dd24a2fe471268a2ad2a39123b6f58fdc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","ES5151700897","spotify:user:12136711908","2022-09-30T13:55:07Z"
"spotify:track:3R2FaLjO7IUkAgmXRwYRMa","Contradicción","spotify:artist:3TLGNOdp1UWYMnV5XG9HkR","Malú","spotify:album:113rLDIkvtuYW1I7uull04","Oxígeno","spotify:artist:3TLGNOdp1UWYMnV5XG9HkR","Malú","2018-09-21","https://i.scdn.co/image/ab67616d0000b273a02bc820818d54b72dc6b633","1","3","175443","https://p.scdn.co/mp3-preview/0bdca32783c088ab5fe771370271dc4a03599130?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ES5021800265","spotify:user:12136711908","2022-09-30T13:55:19Z"
"spotify:track:43SFbGEWpn1xbEEHmQuVba","Antes Que No","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","spotify:album:7j74PZNNtthH0JwMPSqIVw","20 Años Contigo","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","2021-12-02","https://i.scdn.co/image/ab67616d0000b273772c9451c2e541d15da9b562","2","11","226266","","false","16","ES5701600817","spotify:user:12136711908","2022-09-30T13:55:19Z"
"spotify:track:5fwlSdLrfIOuDvgskzvu0O","Juro Que Te Amo","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","spotify:album:7j74PZNNtthH0JwMPSqIVw","20 Años Contigo","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","2021-12-02","https://i.scdn.co/image/ab67616d0000b273772c9451c2e541d15da9b562","2","21","227973","","false","19","ES5700802844","spotify:user:12136711908","2022-09-30T13:55:19Z"
"spotify:track:421OmTEwsS438XFRU6NIUy","Fue Nuestro Amor","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","spotify:album:290if5arRdYx7NySut8mfy","Hijos Del Mar","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","2016-12-02","https://i.scdn.co/image/ab67616d0000b2738f15e8b0ceadb6123981aa3b","1","9","251051","","false","24","ES5701601030","spotify:user:12136711908","2022-09-30T13:55:19Z"
"spotify:track:0D9tfKugS31y4mikwE0wuw","Una Palabra","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","spotify:album:290if5arRdYx7NySut8mfy","Hijos Del Mar","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","2016-12-02","https://i.scdn.co/image/ab67616d0000b2738f15e8b0ceadb6123981aa3b","1","10","192548","","false","30","ES5701601032","spotify:user:12136711908","2022-09-30T13:55:19Z"
"spotify:track:1yqMLB4pBY4hzCfMzCBrRM","Mi Norte Es Tu Sur","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","spotify:album:290if5arRdYx7NySut8mfy","Hijos Del Mar","spotify:artist:5gOJTI4TusSENizxhcG7jB","David Bisbal","2016-12-02","https://i.scdn.co/image/ab67616d0000b2738f15e8b0ceadb6123981aa3b","1","8","197643","","false","29","ES5701600895","spotify:user:12136711908","2022-09-30T13:55:19Z"
"spotify:track:559nYD1woDCMP2ajImO5hq","Boca de hule - Acústico","spotify:artist:5M9Bb4adKAgrOFOhc05Y50","Pablo Alborán","spotify:album:1jLNPWcykNvUNoWBWBPjep","Prometo (Edición especial)","spotify:artist:5M9Bb4adKAgrOFOhc05Y50","Pablo Alborán","2018-11-30","https://i.scdn.co/image/ab67616d0000b2731e97a26c900829bbe02daf8f","1","21","221946","https://p.scdn.co/mp3-preview/d363ec120d08aaf87fa3f483726f75df0d56cead?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ES5151802387","spotify:user:12136711908","2022-09-30T13:56:18Z"
"spotify:track:02BezmqMxO8kjcplrujbHx","Recuérdame - Nueva versión","spotify:artist:5M9Bb4adKAgrOFOhc05Y50","Pablo Alborán","spotify:album:3gcdBTgoqiERk0502Bnqqn","Terral","spotify:artist:5M9Bb4adKAgrOFOhc05Y50","Pablo Alborán","2016-06-10","https://i.scdn.co/image/ab67616d0000b2738a75c5c8b8fac39a69dee8c0","1","13","292912","https://p.scdn.co/mp3-preview/f8c4d18daef07c95e923956542f20703a10c211d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ES5151501529","spotify:user:12136711908","2022-09-30T13:56:18Z"
"spotify:track:4iuQ88fgaqBRkzb1JWKUbZ","Desde Que Llegaste","spotify:artist:69BUYvpG9MbjCyIZfsFdhJ","Reyli Barba","spotify:album:3BLkomoXh6O4Sp2m9z4tiY","Reyli En La Luna","spotify:artist:69BUYvpG9MbjCyIZfsFdhJ","Reyli Barba","2004-09-14","https://i.scdn.co/image/ab67616d0000b27351b341dbfd3dbe6747e53112","1","6","213573","https://p.scdn.co/mp3-preview/13a4a29855e0ffa050d67470f0a6aabc615b15fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","MXF140300250","spotify:user:12136711908","2022-09-30T13:56:18Z"
